nomacheteur,records
GIE SESAM Vitale,134
CCI de Maine et Loire,134
centre hospitalier J. Monod,134
CC Sud Vendée Littoral,134
Ville d'Oissel,133
MINISTERE DE LA CULTURE,133
GPFMAS DT ROUEN,133
Communauté de Communes de Grand Lieu,132
Département de la Seine-Maritime - Dce1,132
COMPAGNIE DES PORTS DU MORBIHAN,131
Ensicaen,131
Ville de Grand-Couronne,130
CNFPT,130
Vendée Grand Littoral,130
COMMUNAUTE COMMUNES COEUR COTE FLEURIE,130
Institution Aménagement de la Vilaine,129
Grand Port Maritime de Rouen,129
ville des Sables d'Olonne,129
Ville d'Auray,129
INRA ANGERS NANTES,128
CCPBS,127
Ville de Saint-Etienne-du-Rouvray,127
Communauté de Communes du Petit Caux,127
Cté de Cnes Eure Madrie Seine,127
Centre Hospitalier de Saint Brieuc,126
Conseil Régional Basse-Normandie,125
Vitré Communauté,125
Communauté de Communes Pays de Conches,125
Ville de Quimperlé,124
Société d'Aménagement du Finistère,124
Loire Ocean developpement,124
Institut National Sciences Appliquées,124
COMMUNE DE OMBREE D ANJOU,124
GPT DE COOPERATION SANITAIRE HACOM,124
SDIS49,124
DIRISI,123
CENOVIA CITES,123
CA Lisieux Normandie,123
CCAS du Havre,122
Mairie de Montivilliers,122
COMMUNAUTE COMMUNES PAYS DE REDON,122
Université du Havre,121
COMMUNE DE SAINT ETIENNE DU ROUVRAY,121
OFFICE PUB HABITAT COM AGGL PAYS LORIE,121
PARTELIOS HABITAT,121
COMMUNE DE GRAND COURONNE,121
CENTRE HOSPITALIER DE DIEPPE,121
Université de Bretagne Sud,120
COMMUNE DE BAYEUX,120
CENTRE COMMUNAL D ACTION SOCIALE,120
SM PORTS PECHE PLAISANCE CORNOUAILLE,119
CG49,118
SDE des Côtes d'Armor,118
BATIMENT CFA NORMANDIE,118
CH de Saint-Brieuc/Paimpol/Tréguier - Etablissement support du GHT d'ARMOR,118
Ville de Sablé sur Sarthe,117
Pôle emploi Pays de la Loire,117
Centre hospitalier Bretagne Atlantique,117
Conseil Général de Seine-Maritime,116
Centre hospitalier Sainte-Anne,116
Ville de Port-Jérôme-sur-Seine,116
Semtcar,116
Groupe Hospitalier du Havre,115
Commune de Dinard,115
Le Havre Seine Metropole,115
CA des Portes de l'Eure,114
Mairie de Plérin Sur Mer,114
Mairie,113
Ville d'Yvetot,113
C.H.D La Roche Sur Yon-Luçon-Montaigu,112
Ville de Notre Dame de Bondeville,112
Ville de Vitré,112
Mairie de Honfleur,111
Rouen Normandie Aménagement,111
Ville de Redon,110
Saint-Lô Agglo,110
SPR Pays de la Loire,109
Ville d'Hérouville Saint-Clair,109
COMMUNAUTE COMMUNES DU PAYS DE FALAISE,109
Commune de La Hague,109
CCPI,108
DESTINATION RENNES Tourisme Congrès,107
Loire Océan Métropole Aménagement,107
Atlantic'eau,107
CA LES SABLES D OLONNE AGGLOMERATION,107
Dinan Communauté,106
Ville de Petit Couronne,106
CCI Nantes Saint-Nazaire,106
"SEMITAN, mandataire de Nantes Métropole",106
Département d'Ille et Vilaine PRIE,105
Synd. Dptal d'Energies de la Manche,105
ville de Louviers,104
Syndicat Mixte du Point Fort,103
SIEGE 27,103
CDC Argentan Intercom,103
OPH Habitat Drouais,103
SDEC ENERGIE,103
Communauté d'agglomération Seine Eure,103
URSSAF Haute Normandie,102
PODELIHA,102
SDIS 56,101
CCAS du Mans,101
Centre des monuments nationaux,101
Ville de Ouistreham,101
Pôle emploi Normandie,101
Mairie de Sucé sur Erdre,100
Ville de Pornichet,100
CCIR Pays de la Loire,100
Syndicat Intercommunal d'Eau et d'Assa,100
Conseil Régional de Normandie,100
TRAMCITES-Gpt Egis Rail/Normandie-Amén,99
Ville de Sarzeau,99
COMMUNE DE VERTOU,99
Syndicat Départemental de l'eau de la Manche,99
ville d'Hennebont,98
Ville de Saint-Hilaire-de-Riez,98
Cap Atlantique,98
St Gilles Croix de Vie Agglomération,98
Ville d'Angers (49),98
Trivalis (85),98
Vendée Expansion,97
SI ENERGIES DE MAINE ET LOIRE,97
Cholet Agglomération,97
Centre hospitalier mémorial F.E.U.,96
SDE35,96
NEOMA BS,96
S.M.A.A.G,95
Ville d'Avrillé,95
Saint Barthélemy d'Anjou,95
COMMUNE DE SAINT LO,95
UBS,95
GROUPE HOSPITALIER BRETAGNE SUD,95
Ville Vannes,95
REGION NORMANDIE,94
CONSEIL DEPARTEMENTAL DU CALVADOS (CD 14),94
SGAP Ouest,93
Quimper Communauté,93
SEROC,93
Mairie de Saint Etienne de Montluc,93
MORBIHAN ENERGIES,93
Ville de Fougères,92
SDIS de l'Eure,92
Communauté de Communes Roumois Seine,92
Grand Lieu Communauté,92
Conseil Général de la Sarthe,91
SMPEPCE,91
Proclub,91
